Query	Start	End	Alignment	Classification	Recepient	Donor_Family	Donor_genera	Donor_species	Method	BS	Ingroup_seq_coverage	Ingroup_seq_fragment	Donor_seq_coverage	Donor_seq_fragment
Ain_1	5239	5807	Ain.hgt.11.fas	Putative HGT	Orobanchaceae|Aeginetia_indica|BK061406.1_5239-5807;query|Ain_1;Orobanchaceae|Aeginetia_indica|MW582538.1_29159-29727;Orobanchaceae|Aeginetia_indica|MW851294.1_165186-165754	Fabaceae	Ulex	Fabaceae|Ulex_minor|OZ244772.1_326662-326771	Phylogeny	0.834	0.9156414762741651	1.0	0.17398945518453424	1.0
Ain_1	5792	6044	Ain.hgt.12.fas	Putative HGT	Orobanchaceae|Christisonia_kwangtungensis|OM219027.1_182772-182962;Orobanchaceae|Aeginetia_indica|BK061406.1_5792-6044;query|Ain_1;Orobanchaceae|Aeginetia_indica|MW582538.1_29712-29964;Orobanchaceae|Aeginetia_indica|MW851294.1_165739-165991	Theaceae	Camellia	Theaceae|Camellia_gigantocarpa|OP270590.1_352147-352310;Theaceae|Camellia_chekiangoleosa|PP190481.1_70052-69889;Theaceae|Camellia_granthamiana|PP203036.1_918100-918263;Theaceae|Camellia_lanceoleosa|PP571818.1_10704-10541;Theaceae|Camellia_oleifera|PP579569.1_470066-469903;Theaceae|Camellia_oleifera|PQ557234.1_900483-900646;Theaceae|Camellia_meiocarpa|PQ557235.1_481970-481807;Theaceae|Camellia_oleifera|PX111009.1_225272-225109;Theaceae|Camellia_lanceoleosa|PX111144.1_245454-245617;Theaceae|Camellia_oleifera|PX170215.1_94469-94632;Theaceae|Camellia_nitidissima|ON645224.1_427208-427367;Theaceae|Camellia_nitidissima|PP975885.1_671839-671998	Phylogeny	0.391	0.44664031620553357	1.0	0.6284584980237153	1.0
Ain_1	6525	7138	Ain.hgt.13.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	7937	8325	Ain.hgt.14.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	8344	8661	Ain.hgt.15.fas	Putative HGT	Orobanchaceae|Aeginetia_indica|MW582538.1_32264-32581;Orobanchaceae|Aeginetia_indica|MW851294.1_168291-168608;Orobanchaceae|Christisonia_kwangtungensis|OM219027.1_185209-185514;Orobanchaceae|Aeginetia_indica|BK061406.1_8344-8661;query|Ain_1	Lentibulariaceae	Utricularia	Lentibulariaceae|Utricularia_reniformis|KY774314.1_171218-170961	Phylogeny	1.0	1.0	1.0	0.8113207547169812	1.0
Ain_1	8837	9024	Ain.hgt.16.fas	Putative HGT	Orobanchaceae|Aeginetia_indica|BK061406.1_8837-9024;Orobanchaceae|Aeginetia_indica|MW582538.1_32757-32944;Orobanchaceae|Aeginetia_indica|MW851294.1_168784-168971;query|Ain_1	Fabaceae	Stylosanthes	Fabaceae|Stylosanthes_hamata|MZ747306.1_104580-104467;Fabaceae|Stylosanthes_viscosa|MZ747307.1_241415-241528;Fabaceae|Stylosanthes_scabra|MZ747308.1_425349-425236;Fabaceae|Stylosanthes_capitata|MZ747309.1_175994-175881;Fabaceae|Stylosanthes_pilosa|MZ747310.1_10082-9969;Fabaceae|Stylosanthes_macrocephala|MZ747311.1_287508-287395;Fabaceae|Stylosanthes_seabrana|MZ747313.1_485055-484942	Phylogeny	0.809	0.7978723404255319	1.0	0.6063829787234043	1.0
Ain_1	9012	9840	Ain.hgt.17.fas	inconclusive	Orobanchaceae|Aeginetia_indica|BK061406.1_9012-9840;query|Ain_1;Orobanchaceae|Aeginetia_indica|MW582538.1_32932-33759;Orobanchaceae|Aeginetia_indica|MW851294.1_168959-169786	Orchidaceae;Arecaceae	Cypripedium;Elaeis;Phragmipedium	Orchidaceae|Phragmipedium_kovachii|PQ344715.1_1117-1020;Orchidaceae|Phragmipedium_sp.|PQ344723.1_28974-29071;Arecaceae|Elaeis_guineensis|PP050468.1_750131-750039;Arecaceae|Elaeis_guineensis|PP153532.1_58764-58672;Orchidaceae|Cypripedium_subtropicum|PQ344521.1_14117-14209	Phylogeny	0.054	0.12665862484921597	1.0	0.11097708082026536	1.0
Ain_1	9955	10446	Ain.hgt.18.fas	inconclusive	Orobanchaceae|Christisonia_kwangtungensis|OM219027.1_186750-187224;Orobanchaceae|Aeginetia_indica|BK061406.1_9955-10446;query|Ain_1;Orobanchaceae|Aeginetia_indica|MW582538.1_33849-34246;Orobanchaceae|Aeginetia_indica|MW851294.1_169876-170273	Solanaceae;Malvaceae;Ulmaceae;Berberidaceae;Rhamnaceae;Arecaceae;Celastraceae;Orobanchaceae;Sapindaceae	Ulmus;Frangula;Hibiscus;Orobanche;Tripterygium;Areca;Aesculus;Alkekengi;Hemiptelea;Epimedium	Orobanchaceae|Orobanche_austrohispanica|PX150010.1_471934-471612;Ulmaceae|Hemiptelea_davidii|MN061667.1_265251-265183;Solanaceae|Alkekengi_officinarum|OL467322.1_20915-20983;Ulmaceae|Ulmus_glabra|OZ067197.1_206501-206433;Sapindaceae|Aesculus_hippocastanum|OZ240859.1_466279-466211;Ulmaceae|Ulmus_minor|OZ240945.1_206497-206429;Malvaceae|Hibiscus_syriacus|PQ434422.1_45742-45674;Berberidaceae|Epimedium_sagittatum|PV666220.1_51408-51476;Berberidaceae|Epimedium_sagittatum|PV694670.1_300381-300313;Berberidaceae|Epimedium_wushanense|PV694990.1_39580-39512;Berberidaceae|Epimedium_pubescens|PV695560.1_38979-38911;Arecaceae|Areca_catechu|MW785263.1_158707-158776;Arecaceae|Areca_macrocalyx|MW785264.1_115031-114962;Arecaceae|Areca_macrocalyx|MW785265.1_129688-129619;Celastraceae|Tripterygium_wilfordii|OR538545.1_199940-199871;Rhamnaceae|Frangula_alnus|OZ066679.1_159780-159847	Phylogeny	0.902	0.16260162601626016	1.0	0.1402439024390244	1.0
Ain_1	10483	10607	Ain.hgt.19.fas	inconclusive	Orobanchaceae|Aeginetia_indica|BK061406.1_10483-10607;Orobanchaceae|Aeginetia_indica|MW582538.1_34283-34407;Orobanchaceae|Aeginetia_indica|MW851294.1_170310-170434;query|Ain_1	Solanaceae;Gentianaceae;Grossulariaceae;Aizoaceae;Polygalaceae;Actinidiaceae;Gelsemiaceae;Rhamnaceae;Amaranthaceae;Orobanchaceae;Euphorbiaceae	Frangula;Boschniakia;Vernicia;Orobanche;Centaurium;Actinidia;Christisonia;Polygala;Jatropha;Amaranthus;Alkekengi;Gelsemium;Ribes;Tetragonia	Orobanchaceae|Orobanche_gracilis|PX150041.1_28818-28939;Orobanchaceae|Orobanche_austrohispanica|PX150010.1_471590-471469;Orobanchaceae|Orobanche_gracilis|PX150042.1_195978-196047;Rhamnaceae|Frangula_alnus|OZ066679.1_17858-17969;Gelsemiaceae|Gelsemium_elegans|MN388837.1_271545-271423;Gelsemiaceae|Gelsemium_elegans|OP805353.1_139060-138938;Gentianaceae|Centaurium_erythraea|OZ281353.1_171206-171109;Euphorbiaceae|Vernicia_fordii|OP251015.1_166866-166982;Actinidiaceae|Actinidia_arguta|MH559343.1_324887-324772;Actinidiaceae|Actinidia_arguta|PP442185.1_53087-52972;Grossulariaceae|Ribes_nigrum|OR296460.1_284471-284582;Grossulariaceae|Ribes_rubrum|OZ237959.1_205531-205642;Grossulariaceae|Ribes_uva-crispa|OZ242999.1_316629-316518;Grossulariaceae|Ribes_nigrum|OZ256409.1_92074-91963;Grossulariaceae|Ribes_nigrum|PQ047132.1_284462-284573;Grossulariaceae|Ribes_stenocarpum|PQ047133.1_209077-208966;Grossulariaceae|Ribes_odoratum|PQ049745.1_388271-388160;Grossulariaceae|Ribes_meyeri|PQ049746.1_155137-155248;Orobanchaceae|Boschniakia_rossica|OP019631.1_883960-884071;Solanaceae|Alkekengi_officinarum|OL467322.1_296277-296394;Aizoaceae|Tetragonia_tetragonoides|MW971440.1_309934-309823;Amaranthaceae|Amaranthus_tricolor|OP177685.1_33800-33725;Amaranthaceae|Amaranthus_palmeri|PQ210873.1_218648-218573;Amaranthaceae|Amaranthus_retroflexus|PX126025.1_26046-25971;Amaranthaceae|Amaranthus_palmeri|PX126026.1_175923-175848;Amaranthaceae|Amaranthus_hypochondriacus|PX126027.1_321560-321635;Polygalaceae|Polygala_serpyllifolia|OZ281954.1_18304-18193;Polygalaceae|Polygala_tenuifolia|PQ541027.1_144097-144208;Euphorbiaceae|Jatropha_curcas|OQ603497.1_61275-61392;Orobanchaceae|Christisonia_kwangtungensis|OM219027.1_187246-187367	Phylogeny	0.771	0.976	1.0	0.896	1.0
Ain_1	10710	11062	Ain.hgt.20.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	11075	11340	Ain.hgt.21.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	11299	11671	Ain.hgt.22.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	11720	11895	Ain.hgt.23.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	11884	11978	Ain.hgt.24.fas	High confidence HGT	query|Ain_1;Orobanchaceae|Aeginetia_indica|BK061406.1_11884-11978;Orobanchaceae|Aeginetia_indica|MW582538.1_35684-35778;Orobanchaceae|Aeginetia_indica|MW851294.1_171711-171805;Orobanchaceae|Cistanche_tubulosa|ON890415.1_34740-34843;Orobanchaceae|Cistanche_tubulosa|ON890418.1_169374-169271;Orobanchaceae|Alectra_orobanchoides|PX132742.1_403057-403155	Phyllanthaceae	Phyllanthus;Breynia	Phyllanthaceae|Breynia_androgyna|PP059844.1_38503-38403;Phyllanthaceae|Phyllanthus_fluitans|PV110625.1_118523-118622	BLAST: exclusive homology in two families	NA	1.0	1.0	1.0	1.0
Ain_1	11964	12209	Ain.hgt.25.fas	inconclusive	Orobanchaceae|Aeginetia_indica|BK061406.1_11964-12209;Orobanchaceae|Aeginetia_indica|MW582538.1_35764-36009;Orobanchaceae|Aeginetia_indica|MW851294.1_171791-172036;query|Ain_1;Orobanchaceae|Striga_hermonthica|PX150091.1_2563-2678	Euphorbiaceae;Hydnoraceae	Euphorbia;Hydnora	Euphorbiaceae|Euphorbia_lathyris|OY755230.1_14951-15114;Hydnoraceae|Hydnora_visseri|OP649465.1_119826-119559;Hydnoraceae|Hydnora_visseri|OP649473.1_2057-2324;Euphorbiaceae|Euphorbia_peplus|OZ123154.1_373247-373112	Phylogeny	0.759	1.0	1.0	0.7987804878048781	1.0
Ain_1	12265	12353	Ain.hgt.26.fas	inconclusive	Orobanchaceae|Aeginetia_indica|BK061406.1_12265-12353;Orobanchaceae|Aeginetia_indica|MW582538.1_36065-36153;Orobanchaceae|Aeginetia_indica|MW851294.1_172092-172180;query|Ain_1	Ericaceae;Nymphaeaceae;Aquifoliaceae;Caprifoliaceae	Rhododendron;Lonicera;Nymphaea;Ilex	Ericaceae|Rhododendron_vialii|CP127079.1_243936-243840;Ericaceae|Rhododendron_molle|JAKSEO010000015.1_211186-211090;Ericaceae|Rhododendron_molle|JAKSEO010000016.1_23443-23539;Nymphaeaceae|Nymphaea_colorata|KY680279.1_360856-360952;Nymphaeaceae|Nymphaea_colorata|KY889142.1_360836-360932;Ericaceae|Rhododendron_simsii|MW030508.1_524817-524721;Caprifoliaceae|Lonicera_japonica|MZ504724.1_344872-344776;Ericaceae|Rhododendron_x_pulchrum|OM283814.1_40127-40031;Ericaceae|Rhododendron_decorum|OQ450179.1_596906-597002;Ericaceae|Rhododendron_delavayi|OQ868516.1_844661-844757;Aquifoliaceae|Ilex_metabaptista|OQ928097.1_447783-447879;Aquifoliaceae|Ilex_aquifolium|OX637411.1_191879-191783;Ericaceae|Rhododendron_ponticum|OZ277755.1_149259-149163;Caprifoliaceae|Lonicera_macranthoides|PP857827.1_154585-154681;Aquifoliaceae|Ilex_aquifolium|PP908998.1_158378-158282;Nymphaeaceae|Nymphaea_dimorpha|PP932630.1_449170-449074;Nymphaeaceae|Nymphaea_thermarum|PP934662.1_240422-240518;Ericaceae|Rhododendron_vialii|PQ537097.1_444399-444495;Ericaceae|Rhododendron_nivale|PQ537102.1_158118-158022;Ericaceae|Rhododendron_simsii|WJXA01000014.1_524817-524721	Phylogeny	0.0	1.0	1.0	0.9887640449438202	1.0
Ain_1	12645	12713	Ain.hgt.27.fas	High confidence HGT	query|Ain_1;Orobanchaceae|Aeginetia_indica|BK061406.1_12645-12713;Orobanchaceae|Aeginetia_indica|MW582538.1_36452-36520;Orobanchaceae|Aeginetia_indica|MW851294.1_172479-172547	Passifloraceae	Passiflora	Passifloraceae|Passiflora_edulis|MT140634.1_15140-15207	BLAST: exclusive homology in two families	NA	1.0	1.0	0.9855072463768116	1.0
Ain_1	12917	13122	Ain.hgt.28.fas	inconclusive	Orobanchaceae|Aeginetia_indica|BK061406.1_12917-13122;query|Ain_1	Orobanchaceae;Cannabaceae	Aeginetia;Humulus;Christisonia	Cannabaceae|Humulus_lupulus|MW413894.1_73876-74075;Cannabaceae|Humulus_lupulus|OY720657.1_310134-310333;Cannabaceae|Humulus_lupulus|PP230457.1_55123-55322;Orobanchaceae|Aeginetia_indica|MW582538.1_36724-36929;Orobanchaceae|Aeginetia_indica|MW851294.1_172751-172956;Orobanchaceae|Christisonia_kwangtungensis|OM219025.1_11009-11210	Phylogeny	0.868	0.8786407766990292	1.0	0.9174757281553398	1.0
Ain_1	13234	13573	Ain.hgt.29.fas	inconclusive	Orobanchaceae|Christisonia_kwangtungensis|OM219025.1_11296-11611;Orobanchaceae|Striga_gesnerioides|PX150075.1_2921-3162;Orobanchaceae|Aeginetia_indica|BK061406.1_13234-13573;query|Ain_1;Orobanchaceae|Aeginetia_indica|MW582538.1_37041-37380;Orobanchaceae|Aeginetia_indica|MW851294.1_173068-173407	Orobanchaceae;Fabaceae;Moraceae	Apios;Lotus;Maclura;Lathyrus;Orobanche;Sophora;Caragana;Glycine;Trifolium	Fabaceae|Apios_americana|MW448463.1_320663-320972;Fabaceae|Trifolium_bocconei|OZ277740.1_288108-288399;Fabaceae|Trifolium_grandiflorum|MT039391.1_282140-281841;Fabaceae|Trifolium_dubium|OX638078.1_162294-161995;Fabaceae|Trifolium_pratense|MT039389.1_166663-166368;Fabaceae|Trifolium_meduseum|MT039390.1_117950-117655;Moraceae|Maclura_tricuspidata|PX023084.1_49160-49469;Fabaceae|Lathyrus_linifolius|OZ206522.1_113680-113989;Fabaceae|Lotus_subbiflorus|OZ374288.1_96949-97258;Fabaceae|Glycine_max|CM021415.1_346326-346637;Fabaceae|Glycine_max|JAGRRG010000127.1_9629-9940;Fabaceae|Glycine_max|JAGRRG010000283.1_16802-16491;Fabaceae|Glycine_soja|JAUTYY010000279.1_91276-90965;Fabaceae|Glycine_max|JX463295.1_695-1006;Fabaceae|Glycine_soja|MF955859.1_695-1006;Fabaceae|Glycine_max|MW331584.1_126791-127102;Fabaceae|Glycine_max|OR687435.1_231474-231785;Fabaceae|Glycine_max|PQ643226.1_230206-230517;Fabaceae|Glycine_max|WIXC01000207.1_100330-100641;Fabaceae|Caragana_spinosa|OQ785640.1_242013-241708;Fabaceae|Sophora_flavescens|MH922916.1_338750-339058;Orobanchaceae|Orobanche_gracilis|PX150042.1_417110-417414	Phylogeny	0.865	0.8911764705882352	1.0	0.9117647058823529	1.0
Ain_1	13682	13832	Ain.hgt.30.fas	Putative HGT	Orobanchaceae|Aeginetia_indica|BK061406.1_13682-13832;Orobanchaceae|Aeginetia_indica|MW582538.1_37489-37639;Orobanchaceae|Aeginetia_indica|MW851294.1_173516-173666;query|Ain_1;Orobanchaceae|Christisonia_kwangtungensis|OM219025.1_11684-11830	Malvaceae	Malva	Malvaceae|Malva_sylvestris|OZ255906.1_556624-554811	Phylogeny	0.941	1.0	1.0	0.9470198675496688	1.0
Ain_1	13832	13932	Ain.hgt.31.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	13932	14082	Ain.hgt.32.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	14082	15082	Ain.hgt.33.fas	inconclusive	Orobanchaceae|Striga_gesnerioides|PX150075.1_3488-4250;Orobanchaceae|Striga_hermonthica|PX150082.1_809784-809022;Orobanchaceae|Aeginetia_indica|BK061406.1_14082-15082;query|Ain_1;Orobanchaceae|Aeginetia_indica|MW582538.1_37889-38866;Orobanchaceae|Aeginetia_indica|MW851294.1_173916-174893	Orobanchaceae;Hydnoraceae	Phelipanche;Hydnora	Orobanchaceae|Phelipanche_ramosa|PX150060.1_128770-129669;Orobanchaceae|Phelipanche_aegyptiaca|PX150057.1_2750-3650;Hydnoraceae|Hydnora_visseri|OP649467.1_42297-42537	Phylogeny	0.786	0.8991008991008991	1.0	0.8991008991008991	1.0
Ain_1	15082	15282	Ain.hgt.34.fas	inconclusive	Orobanchaceae|Aeginetia_indica|BK061406.1_15082-15282;Orobanchaceae|Aeginetia_indica|MW582538.1_38866-39066;Orobanchaceae|Aeginetia_indica|MW851294.1_174893-175093;query|Ain_1	Orobanchaceae;Aizoaceae;Malvaceae	Carpobrotus;Malva;Phelipanche;Christisonia	Orobanchaceae|Christisonia_kwangtungensis|OM219025.1_12908-13077;Orobanchaceae|Phelipanche_aegyptiaca|PX150057.1_3674-3864;Orobanchaceae|Phelipanche_ramosa|PX150060.1_129693-129883;Malvaceae|Malva_sylvestris|OZ255906.1_556624-554811;Aizoaceae|Carpobrotus_edulis|OZ298084.1_2904888-2903472	Phylogeny	0.999	0.7313432835820896	1.0	0.845771144278607	1.0
Ain_1	15282	15491	Ain.hgt.35.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	15460	15550	Ain.hgt.36.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	15536	15910	Ain.hgt.37.fas	Putative HGT	Orobanchaceae|Christisonia_kwangtungensis|OM219025.1_13347-13702;Orobanchaceae|Aeginetia_indica|BK061406.1_15536-15910;query|Ain_1;Orobanchaceae|Aeginetia_indica|MW582538.1_39320-39694;Orobanchaceae|Aeginetia_indica|MW851294.1_175347-175721	Orchidaceae	Dendrobium;Cymbidium;Calanthe;Bletilla	Orchidaceae|Cymbidium_lancifolium|KX962300.1_1326-949;Orchidaceae|Cymbidium_macrorhizon|KX962304.1_69482-69105;Orchidaceae|Cymbidium_lancifolium|OQ024448.1_1431-1808;Orchidaceae|Cymbidium_macrorhizon|OQ029545.1_22685-23062;Orchidaceae|Cymbidium_ensifolium|OR754267.1_32408-32785;Orchidaceae|Cymbidium_kanran|PX256519.1_79470-79847;Orchidaceae|Calanthe_striata|PX168828.1_4464-4082;Orchidaceae|Dendrobium_officinale|LC640144.1_15798-16175;Orchidaceae|Dendrobium_nobile|LC832897.1_15742-15365;Orchidaceae|Dendrobium_nobile|OR413869.1_12139-11762;Orchidaceae|Dendrobium_flexicaule|OR413902.1_24565-24942;Orchidaceae|Dendrobium_officinale|OR413921.1_23512-23889;Orchidaceae|Bletilla_striata|PQ859850.1_1156-779	Phylogeny	0.992	1.0	1.0	0.952	1.0
Ain_1	16127	16277	Ain.hgt.38.fas	Putative HGT	Orobanchaceae|Aeginetia_indica|BK061406.1_16127-16277;query|Ain_1	Fabaceae	Lotus	Fabaceae|Lotus_pedunculatus|OZ243174.1_123976-124477	Phylogeny	0.574	0.5827814569536424	1.0	0.9470198675496688	1.0
Ain_1	16277	16377	Ain.hgt.39.fas	Putative HGT	Orobanchaceae|Aeginetia_indica|BK061406.1_16277-16377;query|Ain_1;Orobanchaceae|Orobanche_hederae|OZ377225.1_64017-63925;Orobanchaceae|Orobanche_crenata|PX150020.1_147344-147436;Orobanchaceae|Orobanche_minor|PX150047.1_81435-81527	Fabaceae	Lotus	Fabaceae|Lotus_pedunculatus|OZ243174.1_123976-124477	Phylogeny	0.918	0.9207920792079208	1.0	0.9207920792079208	1.0
Ain_1	16377	16749	Ain.hgt.40.fas	Putative HGT	Orobanchaceae|Aeginetia_indica|BK061406.1_16377-16749;query|Ain_1	Fabaceae	Ononis;Lotus	Fabaceae|Ononis_reclinata|OZ240033.1_38531-38283;Fabaceae|Lotus_pedunculatus|OZ243174.1_123976-124477	Phylogeny	0.927	0.260053619302949	1.0	0.6769436997319035	1.0
Ain_1	16738	17251	Ain.hgt.41.fas	inconclusive	Orobanchaceae|Aeginetia_indica|BK061406.1_16738-17251;Orobanchaceae|Aeginetia_indica|MW582538.1_128320-127807;Orobanchaceae|Aeginetia_indica|MW851294.1_264347-263834;query|Ain_1	Orobanchaceae;Lamiaceae;Fabaceae	Callicarpa;Strombocarpa;Striga	Fabaceae|Strombocarpa_tamarugo|PV944201.1_9727-9806;Fabaceae|Strombocarpa_tamarugo|PV944204.1_52138-52217;Lamiaceae|Callicarpa_americana|PX121882.1_75050-75109;Orobanchaceae|Striga_hermonthica|PX150089.1_10176-10604	Phylogeny	0.941	0.6712062256809339	1.0	0.14785992217898836	1.0
Ain_1	17226	17663	Ain.hgt.42.fas	VGT	NA	NA	NA	NA	Phylogeny	NA	NA	NA	NA	NA
Ain_1	17648	17870	Ain.hgt.43.fas	High confidence HGT	Orobanchaceae|Christisonia_kwangtungensis|OM219026.1_62320-62113;Orobanchaceae|Aeginetia_indica|BK061406.1_17648-17870;query|Ain_1;Orobanchaceae|Aeginetia_indica|MW582538.1_127410-127188;Orobanchaceae|Aeginetia_indica|MW851294.1_263437-263215	Brassicaceae	Yinshania	Brassicaceae|Yinshania_acutangula|OQ376548.1_78387-78561;Brassicaceae|Yinshania_henryi|OQ376550.1_21232-21058	Phylogeny: nested in donor family	0.997	1.0	1.0	0.7847533632286996	1.0
